Researcher,Trial,Plot,Weight,Width,Length,Height,Shape,Area,Hollow,Double,Knob
Groves,Example Trial,402,4.52,2.28,3.63,1.75,32043,9466,0,0,0
Groves,Example Trial,402,3.33,2.14,3.05,1.58,30968,7243,0,0,0
Groves,Example Trial,402,2.71,1.9,2.86,1.49,29876,6282,0,0,0
Groves,Example Trial,402,2.08,2.28,1.78,1.47,28681,4774,0,0,0
Groves,Example Trial,402,2.15,1.62,2.65,1.46,29152,4835,0,0,0
Groves,Example Trial,402,2.32,2.34,1.88,1.55,29391,5126,0,0,0
Groves,Example Trial,402,1.5,1.72,1.72,1.47,28992,3356,0,0,0
Groves,Example Trial,402,1.98,1.72,2.31,1.39,27892,4617,0,0,0
Groves,Example Trial,402,2.32,1.72,2.78,1.39,28648,5377,0,0,0
Groves,Example Trial,402,3.13,2.48,1.93,1.83,27984,5866,0,0,1
Groves,Example Trial,402,1.53,1.82,1.85,1.33,29268,3651,0,0,0
Groves,Example Trial,402,1.82,2.18,1.64,1.4,27501,4337,0,0,0
Groves,Example Trial,402,2.85,2.32,2.7,1.49,32748,6931,1,0,0
Groves,Example Trial,402,1.95,1.41,2.7,1.35,26356,4795,0,0,0
Groves,Example Trial,402,4.35,2.16,3.47,1.69,29119,8837,0,0,0
Groves,Example Trial,402,1.61,2.1,1.56,1.32,26859,3913,0,0,0
Groves,Example Trial,402,3.87,2.87,2.68,1.68,33389,8139,0,0,0
Groves,Example Trial,402,1.42,1.68,2.01,1.25,29725,3524,0,0,0
Groves,Example Trial,402,2.19,1.66,2.62,1.44,28597,5162,0,0,0
Groves,Example Trial,402,2.09,2.4,1.64,1.44,27118,4762,0,0,0
Groves,Example Trial,402,2.36,2.38,1.8,1.55,28136,5101,0,0,0
Groves,Example Trial,402,2.09,2.26,1.93,1.41,29426,4879,0,0,0
Groves,Example Trial,402,2.27,2.1,2.17,1.5,30112,5172,0,0,0
Groves,Example Trial,402,2.47,1.8,2.73,1.51,30041,5591,0,0,0
Groves,Example Trial,402,2.13,1.82,2.57,1.38,30304,5259,0,0,0
Groves,Example Trial,402,2.03,2.24,1.78,1.49,29265,4536,0,0,0
Groves,Example Trial,402,0.81,0.95,2.09,1.1,26963,2022,0,0,0
Groves,Example Trial,402,1.43,1.53,2.09,1.32,29517,3552,0,0,0
Groves,Example Trial,402,2.58,1.9,2.57,1.52,28768,5664,0,0,0
Groves,Example Trial,402,3.05,1.76,3.39,1.48,28951,7104,0,0,0
Groves,Example Trial,402,3.72,2.02,3.15,1.72,29420,7561,0,0,0
Groves,Example Trial,402,1.99,1.8,2.36,1.35,28818,4888,0,0,0
Groves,Example Trial,402,0.93,1.7,1.35,1.1,27145,2491,0,0,0
Groves,Example Trial,402,2.01,1.76,2.41,1.4,29543,4699,0,0,0
Groves,Example Trial,402,2.68,1.78,2.76,1.62,29696,5502,0,0,0
Groves,Example Trial,402,2.75,2.08,2.91,1.45,31914,6472,0,0,0
Groves,Example Trial,402,1.7,2.18,1.54,1.38,27252,4055,0,0,0
Groves,Example Trial,402,0.63,1.17,1.35,0.94,23567,1642,0,0,0
Groves,Example Trial,402,2.09,1.84,2.41,1.46,30977,4866,0,0,0
Groves,Example Trial,402,2.28,2.22,2.01,1.53,29943,5126,0,0,0
Groves,Example Trial,402,3.66,2.3,2.97,1.73,32288,7498,0,0,1
Groves,Example Trial,402,1.94,2.16,1.85,1.46,30072,4416,0,0,0
Groves,Example Trial,402,1,1.7,1.35,1.13,25933,2572,0,0,0
Groves,Example Trial,402,1.15,1.33,1.96,1.17,26521,2994,0,0,0
Groves,Example Trial,402,1.35,1.37,2.23,1.19,26930,3471,0,0,0
Groves,Example Trial,402,1.46,1.76,1.83,1.38,30443,3470,0,0,0
Groves,Example Trial,402,1.05,1.45,1.72,1.26,29928,2541,0,0,0
Groves,Example Trial,402,2.06,1.8,2.23,1.56,30397,4564,0,0,0
Groves,Example Trial,402,1.67,1.45,2.44,1.32,27965,4022,0,0,0
Groves,Example Trial,402,1.23,1.9,1.35,1.24,25858,3054,0,0,0
Groves,Example Trial,402,1.86,1.53,2.36,1.35,26207,4417,0,0,0
Groves,Example Trial,402,1.9,1.6,2.36,1.49,29611,4167,0,0,0
Groves,Example Trial,402,0.64,1.23,1.3,0.94,23485,1653,0,0,0
Groves,Example Trial,402,1.99,2.34,2.62,1.17,36045,5557,0,0,0
Groves,Example Trial,402,0.91,1.45,1.43,1.18,26887,2257,0,0,0
Groves,Example Trial,402,1.31,1.39,2.07,1.2,26356,3367,0,0,0
Groves,Example Trial,402,1.54,1.55,2.17,1.39,30358,3736,0,0,0
Groves,Example Trial,402,2.94,1.96,2.86,1.57,29934,6480,0,0,0
Groves,Example Trial,402,1.54,1.88,1.56,1.38,26280,3551,0,0,0
Groves,Example Trial,402,1.88,1.86,2.15,1.44,30630,4405,0,0,0
Groves,Example Trial,402,3.63,2.91,2.09,1.69,28315,7229,0,0,0
Groves,Example Trial,402,2.08,2.1,2.09,1.42,29963,4875,0,0,0
Groves,Example Trial,402,1.61,1.8,1.91,1.35,28827,3929,0,0,0
Groves,Example Trial,402,4.41,2.06,3.44,1.69,27156,8865,0,0,0
Groves,Example Trial,402,3.39,2,3.1,1.57,28713,7406,0,0,0
Groves,Example Trial,402,0.8,1.55,1.48,0.97,27814,2272,0,0,0
